Country Name,P2014,TMI,TFR, EVT , EVH , EVM , REG , ARE ,INC,OOS,TNT,TSB,ABS,GDP,IPC,ISR,MCS,TDS
Sint Maarten (Dutch part),37685,,,,,,Latin America & Caribbean,America,0,0,0,0,0,0,0,0,0,0
Slovak Republic,5418649,6.1,1.34,76.71,73.3,80.3,Europe & Central Asia,Europe,13934.97626,0,10.2,0,40.338546,18500.66461,-0.07616533,79.98,116.9401341,13.30000019
Slovenia,2061980,2.2,1.55,80.52,77.3,83.9,Europe & Central Asia,Europe,18948.92256,0,10.3,0,61.95630586,24001.90139,0.200074858,71.59,112.0830105,9.5
Solomon Islands,572171,24.2,3.97,67.93,66.52,69.41,East Asia & Pacific,Asia & Oceania,1055.508694,0,29.921,0,78.26366559,2024.190415,5.165902379,9,65.75650459,3.900000095
Somalia,10517569,87.4,6.46,55.35,53.77,57.02,Sub-Saharan Africa,Africa,0,0,43.61,0,10.26524692,542.615884,0,1.63,50.89929334,6.900000095
South Africa,54001953,34.4,2.36,57.18,55.17,59.3,Sub-Saharan Africa,Africa,5223.610544,0,20.657,0,7.617736524,6483.854575,6.375259009,49,149.1935175,25.10000038
South Sudan,11911184,62,5.02,55.68,54.73,56.68,Sub-Saharan Africa,Africa,0,0,36.756,48,0,1115.093516,3.259073527,15.9,24.50094636,0
Spain,46476032,3.6,1.27,83.08,80.2,86.1,Europe & Central Asia,Europe,24287.72584,0,9.2,0,36.75204414,29721.60149,-0.14703181,76.19,107.8492701,24.70000076
Sri Lanka,20771000,8.6,2.08,74.79,71.51,78.25,South Asia,Asia & Oceania,3288.780053,0,15.938,0,33.11433583,3794.887586,3.277825629,25.8,103.1578481,4.599999905
St. Kitts and Nevis,54944,8.7,,,,,Latin America & Caribbean,America,0,9.40767,0,0,42.30769231,15510.39393,0.247865392,65.4,118.6369527,0
St. Lucia,183645,13,1.89,75.05,72.4,77.83,Latin America & Caribbean,America,7029.468923,0,15.168,0,33.37704918,7647.529548,3.518478182,51,102.5888082,0
St. Martin (French part),31530,,1.81,79.32,76.2,82.6,Latin America & Caribbean,America,0,0,15.7,0,18.38235294,0,0,0,0,0
St. Vincent and the Grenadines,109360,17,1.97,72.94,70.87,75.11,Latin America & Caribbean,America,6267.429823,0,16.04,0,69.23076923,6668.886105,0.193858561,56.48,105.1622459,0
Sudan,39350274,48.8,4.35,63.46,61.98,65.01,Sub-Saharan Africa,Africa,1710.116744,0,33.054,17.6,8.158396465,1875.843287,36.90776377,24.64,72.19898961,14.80000019
Suriname,538248,19.5,2.36,71.15,68.03,74.43,Latin America & Caribbean,America,7091.662275,35.12976,18.197,0,98.30641026,9680.115914,3.389745726,40.08,170.5749874,5.599999905
Swaziland,1269112,45.8,3.27,48.93,49.62,48.21,Sub-Saharan Africa,Africa,2786.770887,0,29.747,0,33.80232558,3477.149243,5.685266864,27.1,72.31972132,22.29999924
Sweden,9696110,2.4,1.89,81.96,80.2,83.8,Europe & Central Asia,Europe,50995.58583,0,11.9,1.9,68.91785732,58898.92753,-0.179638494,92.52,127.8392622,8
Switzerland,8188102,3.5,1.52,82.85,80.8,85,Europe & Central Asia,Europe,67111.52513,0,10.2,0,31.63781759,85616.5612,-0.013186044,87,136.6773982,4.5
Syrian Arab Republic,22157800,11.7,2.95,70.07,63.97,76.48,Middle East & North Africa,Asia & Oceania,0,33.99351,23.079,0,2.673855035,0,0,28.09,63.85589141,10.80000019
Tajikistan,8295840,39.7,3.49,69.6,66.2,73.17,Europe & Central Asia,Europe,1046.12482,0,30.592,0,2.94084024,1114.007483,6.104427651,17.49,95.12606037,10.89999962
Tanzania,51822621,36.2,5.15,64.94,63.54,66.42,Sub-Saharan Africa,Africa,838.9703132,0,39.015,0,52.41815308,955.1413114,6.13161433,4.86,62.77433234,3.099999905
Thailand,67725979,10.9,1.51,74.42,71.14,77.87,East Asia & Pacific,Asia & Oceania,4479.650005,0,10.79,0,32.0401652,5977.380587,1.890377125,34.89,144.4387195,0.899999976
Timor-Leste,1212107,46.1,5.1,68.26,66.55,70.06,East Asia & Pacific,Asia & Oceania,0,9.6175,37.783,0,46.88634835,1169.038707,0.443548387,1.14,119.3771644,4.699999809
Togo,7115163,53.6,4.58,59.66,58.95,60.4,Sub-Saharan Africa,Africa,494.2501445,0,35.569,0,3.820555249,635.0442677,0.186716067,5.7,64.57824151,6.900000095
Tonga,105586,14.7,3.72,72.79,69.92,75.81,East Asia & Pacific,Asia & Oceania,3797.747292,0,24.846,0,12.5,4113.993493,2.510876333,40,64.28314836,0
Trinidad and Tobago,1354483,18.7,1.78,70.44,67.02,74.03,Latin America & Caribbean,America,16309.87698,0,14.3,0,45.39181287,21323.75471,5.684418146,65.1,147.3377795,4
Tunisia,10996600,12.6,2.2,74.14,71.9,76.5,Middle East & North Africa,Africa,3390.128911,0,19.2,0,6.634912461,4420.698435,4.937735303,46.16,128.4857675,13.30000019
Turkey,75932348,12.3,2.07,75.16,71.98,78.5,Europe & Central Asia,Europe,9761.509606,0,16.789,0,15.08854904,10515.00782,8.854572714,51.04,94.7933028,9.199999809
Turkmenistan,5307188,45,2.3,65.6,61.5,69.9,Europe & Central Asia,Asia & Oceania,0,0,21.103,0,8.782159045,9031.51157,0,12.2,135.7804374,10.5
Turks and Caicos Islands,33740,,,,,,Latin America & Caribbean,America,0,0,0,0,36.21052632,0,0,0,0,0
Tuvalu,9893,23.4,,,,,East Asia & Pacific,Asia & Oceania,0,13.48183,0,0,33.33333333,3826.902901,0,0,38.40711542,0
Uganda,37782971,39.1,5.78,58.47,56.74,60.28,Sub-Saharan Africa,Africa,573.0593603,0,42.996,0,11.03231598,714.5673454,4.288209263,17.71,52.42923963,3.799999952
Ukraine,45362900,8.1,1.5,71.19,66.25,76.37,Europe & Central Asia,Europe,2394.879774,0.43725,10.8,0,16.63191328,3082.461447,12.18836565,43.4,144.082159,7.699999809
United Arab Emirates,9086139,6.1,1.78,77.37,76.3,78.5,Middle East & North Africa,Asia & Oceania,34087.0717,0,10.819,0,3.846172249,43962.71369,0,90.4,178.0615447,3.599999905
United Kingdom,64559135,3.7,1.83,81.06,79.3,82.9,Europe & Central Asia,Europe,39040.73996,0,12,0,12.92522631,46296.98467,1.460191609,91.61,123.5810846,6.300000191
United States,318857056,5.7,1.86,78.94,76.6,81.4,North America,America,46858.1469,0,12.5,0,33.86965942,54629.49517,1.622222977,87.36,110.2041935,6.199999809
Uruguay,3419516,9.1,2.02,76.99,73.51,80.63,Latin America & Caribbean,America,14186.5374,0,14.258,0,10.41172437,16806.77327,8.877353332,61.46,160.7951457,7
Uzbekistan,30757700,35,2.2,68.34,65.04,71.8,Europe & Central Asia,Asia & Oceania,1854.098844,0,23.3,0,7.595251528,2036.691723,0,43.55,78.42135631,10.60000038
Vanuatu,258883,23.5,3.35,71.92,69.93,74.01,East Asia & Pacific,Asia & Oceania,2869.221887,0,26.466,0,36.09515997,3147.963779,0.798863838,18.8,60.41440025,0
"Venezuela, RB",30693827,13.2,2.37,74.24,70.2,78.47,Latin America & Caribbean,America,0,7.9975,19.556,0,53.1119551,0,62.16864998,57,98.95200348,8.600000381
Vietnam,90728900,17.8,1.96,75.63,71.01,80.48,East Asia & Pacific,Asia & Oceania,1547.673928,0,17.157,0,47.22804528,2052.319084,4.085899941,48.31,147.1108877,2.299999952
Virgin Islands (U.S.),104170,,1.75,79.77,76.7,83,Latin America & Caribbean,America,0,0,10.5,0,50.6,0,0,50.07,0,0
West Bank and Gaza,4294682,18.5,4.18,72.9,70.97,74.94,Middle East & North Africa,Asia & Oceania,0,13.84482,32.661,0,1.523255814,2965.903675,0,53.67,72.07515264,26.20000076
"Yemen, Rep.",26183676,35.1,4.16,63.82,62.49,65.22,Middle East & North Africa,Asia & Oceania,0,0,32.418,0,1.039831809,0,0,22.55,68.48627079,17.39999962
Zambia,15721343,44.7,5.35,60.05,58.23,61.96,Sub-Saharan Africa,Africa,1209.157923,0,40.052,0,65.64737217,1721.623274,7.811954417,17.34,67.33816426,13.30000019
Zimbabwe,15245855,47.6,3.92,57.5,56.17,58.89,Sub-Saharan Africa,Africa,822.6982803,0,35.189,0,37.15755461,931.198187,-0.217286171,19.89,80.81642131,5.400000095
